,Smiles,Targets,Molecule ChEMBL ID,EGFR,MAPK1,SRC,STAT3,0,BBB,SMILES,peso_molecular,logP,donadores_H,aceptores_H,violaciones
169,O=C(CO)N1CCC[C@@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,EGFR P STAT3,CHEMBL249927,97.0,0.2944584786891937,0.575,0.9380990608524944,0.0,0.14,O=C(CO)N1CCC[C@@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,519.9890000000001,4.362900000000003,2.0,8.0,1.0
170,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,EGFR P STAT3,CHEMBL540701,79.43,0.014278806746006,0.5650459770114943,0.9181130723445042,0.0,0.255,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,383.4510000000001,5.517200000000004,1.0,5.0,1.0
173,O=C(CO)N1CCC[C@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,EGFR P STAT3,CHEMBL403569,327.0,0.2944584786891937,0.575,0.9380990608524944,0.0,0.15,O=C(CO)N1CCC[C@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,519.9890000000001,4.362900000000003,2.0,8.0,1.0
175,O=C(N/N=C/c1ccc(F)cc1Cl)N1CCc2ncnc(Nc3cccc(Br)c3)c2C1,EGFR P STAT3,CHEMBL4226907,18.0,0.7966170310974121,0.55,0.909100726177384,0.0,0.02,O=C(N/N=C/c1ccc(F)cc1Cl)N1CCc2ncnc(Nc3cccc(Br)c3)c2C1,503.7630000000001,4.877000000000003,2.0,5.0,1.0
177,c1ccc(NCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2cccc2)cc1,EGFR P STAT3,CHEMBL79215,1.0,0.007029206957668,0.47,0.9008916280186716,0.0,0.445,c1ccc(NCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2cccc2)cc1,465.5860000000001,6.099500000000004,3.0,7.0,1.0
178,Cc1ccc2c(C)nc(Nc3nc(O)cc(CSc4nnnn4-c4ccccc4)n3)nc2c1,EGFR P STAT3,CHEMBL1365395,3920.0,0.0397551916539669,0.54,0.9045394753595768,0.0,0.35,Cc1ccc2c(C)nc(Nc3nc(O)cc(CSc4nnnn4-c4ccccc4)n3)nc2c1,457.52300000000014,3.7538400000000003,2.0,11.0,1.0
181,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,EGFR P STAT3,CHEMBL2325098,710.0,0.071808211505413,0.2702,0.9294037598347524,0.0,0.0633333333333333,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,427.34500000000014,6.9580000000000055,0.0,2.0,1.0
182,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc2ccccc12,EGFR P STAT3,CHEMBL2325108,210.0,0.3183642625808716,0.3901999999999999,0.936104464342151,0.0,0.63,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc2ccccc12,400.3340000000002,5.541300000000003,1.0,2.0,1.0
184,Fc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,EGFR P STAT3,CHEMBL2325089,1070.0,0.118765652179718,0.237,0.9171716726969644,0.0,0.025,Fc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,366.4390000000002,6.3346000000000044,0.0,2.0,1.0
189,Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,EGFR P STAT3,CHEMBL2325090,680.0,0.1477369666099548,0.2652,0.907937640483987,0.0,0.0883333333333333,Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,382.8940000000002,6.848900000000005,0.0,2.0,1.0
195,c1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,EGFR P STAT3,CHEMBL2325095,240.0,0.0794554725289344,0.2602,0.9139873931070588,0.0,0.09,c1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,348.4490000000001,6.1955000000000044,0.0,2.0,1.0
198,Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1Cl,EGFR P STAT3,CHEMBL2325094,140.0,0.2645800709724426,0.3251999999999999,0.9331773069106568,0.0,0.3933333333333333,Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1Cl,417.33900000000017,7.502300000000004,0.0,2.0,1.0
199,Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,EGFR P STAT3,CHEMBL2325091,490.0,0.0633787810802459,0.3051999999999999,0.919784228748874,0.0,0.49,Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,427.34500000000014,6.9580000000000055,0.0,2.0,1.0
