,Molecula,Afinidad_1,Afinidad_2,CNN afinity_1,CNN afinity_2,CNN_1,CNN_2,Ruta_1,Ruta_2,Target_1,Target_2
66,EGFR_MAPK1_1057,-7.108953,-6.47871876,6.71231794,6.47044754,0.791222095,0.55470407,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1057_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1057_MAPK1.pdbqt,EGFR,MAPK1
67,EGFR_MAPK1_1058,-9.47717094,-7.39597464,6.99527502,6.56112909,0.471368462,0.52831322,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1058_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1058_MAPK1.pdbqt,EGFR,MAPK1
68,EGFR_MAPK1_1059,-7.44520187,-9.50490379,6.62957621,6.94414902,0.304574877,0.3773233,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1059_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1059_MAPK1.pdbqt,EGFR,MAPK1
69,EGFR_MAPK1_106,-8.09196568,-10.385911,5.95793486,6.6598525,0.490963191,0.575928867,Mejores_poses/bases_conjuntas/EGFR_MAPK1_106_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_106_MAPK1.pdbqt,EGFR,MAPK1
70,EGFR_MAPK1_1060,-7.76586342,-7.4666934,6.51594496,6.84468508,0.746879935,0.673579276,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1060_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1060_MAPK1.pdbqt,EGFR,MAPK1
71,EGFR_MAPK1_1061,-8.02609348,-7.02040243,7.00742149,6.8494339,0.598968923,0.607034564,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1061_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1061_MAPK1.pdbqt,EGFR,MAPK1
72,EGFR_MAPK1_1062,-6.67254543,-8.92295837,6.09602928,7.21701097,0.563044965,0.654538393,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1062_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1062_MAPK1.pdbqt,EGFR,MAPK1
73,EGFR_MAPK1_1063,-6.53369522,-8.96880436,6.84485388,7.63397455,0.615043283,0.532502413,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1063_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1063_MAPK1.pdbqt,EGFR,MAPK1
74,EGFR_MAPK1_1064,-8.93348122,-8.2757988,6.9891572,7.50097704,0.404565811,0.604088902,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1064_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1064_MAPK1.pdbqt,EGFR,MAPK1
75,EGFR_MAPK1_1065,-7.72786856,-8.88410664,6.51425123,7.39824247,0.41232875,0.728532374,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1065_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1065_MAPK1.pdbqt,EGFR,MAPK1
76,EGFR_MAPK1_1066,-10.1411743,-10.5114393,7.03820038,7.03063726,0.473570734,0.356068403,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1066_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1066_MAPK1.pdbqt,EGFR,MAPK1
77,EGFR_MAPK1_1067,-7.25995159,-8.08527279,7.13989782,6.91885805,0.718739033,0.478780627,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1067_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1067_MAPK1.pdbqt,EGFR,MAPK1
78,EGFR_MAPK1_1068,-8.15991688,-6.49768543,6.87677336,6.68019438,0.489327133,0.561644375,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1068_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1068_MAPK1.pdbqt,EGFR,MAPK1
79,EGFR_MAPK1_1069,-7.31322336,-9.73065472,7.10529375,7.15462637,0.713039219,0.614696741,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1069_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1069_MAPK1.pdbqt,EGFR,MAPK1
80,EGFR_MAPK1_107,-9.20328236,-8.3214035,7.03901529,7.16920328,0.594024241,0.529301643,Mejores_poses/bases_conjuntas/EGFR_MAPK1_107_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_107_MAPK1.pdbqt,EGFR,MAPK1
81,EGFR_MAPK1_1070,-6.90511036,-6.55787373,6.82037115,6.4245429,0.695658207,0.788827598,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1070_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1070_MAPK1.pdbqt,EGFR,MAPK1
82,EGFR_MAPK1_1071,-8.45380878,-8.89240074,7.47050428,7.03263998,0.217318848,0.315404803,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1071_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1071_MAPK1.pdbqt,EGFR,MAPK1
83,EGFR_MAPK1_1072,-7.78759718,-9.71897697,6.82231522,7.46089554,0.206642985,0.279446572,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1072_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1072_MAPK1.pdbqt,EGFR,MAPK1
84,EGFR_MAPK1_1073,-7.02907944,-6.31727743,5.05164146,5.30837774,0.476754367,0.383067369,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1073_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1073_MAPK1.pdbqt,EGFR,MAPK1
85,EGFR_MAPK1_1074,-7.36517954,-6.86673355,6.95364618,6.41095495,0.715968251,0.400322318,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1074_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1074_MAPK1.pdbqt,EGFR,MAPK1
